ToolingStock,ToolingType,ToolingSize,Description,ControlLimit,SpecLimit,StoreID,ToolingQty,UTLSite,ActiveFlag,UpdateBy,CreateBy,UpdateTime,CreateTime,Remark,EquipModel,PartNo
CT000007,CUTTINGTOOL,NA0007,TIU 481 LS CLIP,4995000,5000000,481HS,6,UTL1,FALSE,PE ULT1,,41:28.6,08:53.7,,,
CT000008,CUTTINGTOOL,NA0008,TIU 490 LS CLIP,4995000,5000000,490LS,5,UTL1,FALSE,PE ULT1,,42:16.9,20:24.8,,,
CT000009,CUTTINGTOOL,NA0009,TIU 490 HS CLIP,4995000,5000000,490HS,5,UTL1,FALSE,PE ULT1,,42:38.1,21:08.1,,,
CT000010,CUTTINGTOOL,NA0010,TI U 491 LS CLIP,4995000,5000000,491LS,1,UTL1,FALSE,PE ULT1,,43:24.6,24:59.6,,,
CT000011,CUTTINGTOOL,NA0011,TIU 491 HS CLIP,4995000,5000000,491HS,1,UTL1,FALSE,PE ULT1,,44:07.1,25:35.2,,,
CT000012,CUTTINGTOOL,NA0012,TIU 495 LS CLIP,4995000,5000000,495LS,0,UTL1,FALSE,PE ULT1,,44:51.9,32:01.0,,,
CT000013,CUTTINGTOOL,NA0013,TIU 495 HS CLIP,4995000,5000000,495HS,0,UTL1,FALSE,PE ULT1,,45:21.9,34:25.7,,,
CT000014,CUTTINGTOOL,NA0014,TIU 492 LS CLIP,4995000,5000000,492&496 LS,1,UTL1,FALSE,PE ULT1,,46:00.1,36:53.3,,,
CT000015,CUTTINGTOOL,NA0015,TIU 492 HS CLIP,4995000,5000000,492,1,UTL1,FALSE,PE ULT1,,47:53.9,38:33.3,,,
CT000017,CUTTINGTOOL,2 x0.20 MM,S01-E55270,1,1,47085264,0,UTL1,FALSE,,,20:28.3,20:28.3,,,
CT000018,CUTTINGTOOL,NA0026,CSD97374Q4M LS CLIP,4995000,5000000,CSD97374Q4M LS,0,UTL1,FALSE,PE ULT1,,50:02.9,26:09.2,,,
CT000019,CUTTINGTOOL,NA0025,CSD97374Q4M HS CLIP,4995000,5000000,CSD97374Q4M HS,0,UTL1,FALSE,PE ULT1,,49:23.2,40:31.1,,,
CT000020,CUTTINGTOOL,NA0028,SN1401043RVER LS,4995000,5000000,SN1401043RVER LS,1,UTL1,FALSE,PE ULT1,,52:46.4,10:49.0,,,
CT000021,CUTTINGTOOL,NA0027,SN1401043RVER HS,4995000,5000000,SN1401043RVER,1,UTL1,FALSE,PE ULT1,,52:12.5,11:43.6,,,
CT000022,CUTTINGTOOL,NA0032,CSD59930Q4M LS,4995000,5000000,NA0032,1,UTL1,FALSE,PE ULT1,,58:47.0,15:22.4,,,
CT000023,CUTTINGTOOL,NA0031,CSD59930Q4M HS,4995000,5000000,NA0031,1,UTL1,FALSE,PE ULT1,,57:54.4,15:47.8,,,
CT000024,CUTTINGTOOL,NA0030,TPS544C24RVFR,4995000,5000000,NA0030,0,UTL1,FALSE,PE ULT1,,56:36.2,18:03.3,,,
CT000025,CUTTINGTOOL,NA0029,TPS544C24RVFR,4995000,5000000,NA0029,0,UTL1,FALSE,PE ULT1,,56:15.1,18:26.5,,,
CT000026,CUTTINGTOOL,NA0033,"NCP302035MNTWG,40,45",4995000,5000000,NA0033,1,UTL1,FALSE,PE ULT1,,59:44.0,24:54.8,,,
CT000027,CUTTINGTOOL,NA0034,"NCP302035MNTWG,40,45",4995000,5000000,NA0034,3,UTL1,FALSE,PE ULT1,,00:32.1,25:33.4,,,
CT000028,CUTTINGTOOL,NA0046,ONS6X4_NCP81381,4995000,5000000,ONS6X4_NCP81381,1,UTL1,FALSE,PE ULT1,,03:54.3,05:24.4,,,
CT000029,CUTTINGTOOL,NA0037,CSD95482RWJ HS CLIP,4995000,5000000,NA0037,1,UTL1,FALSE,PE ULT1,,03:24.3,53:17.8,,,
CT000030,CUTTINGTOOL,NA0036,CSD95482RWJ LS CLIP,4995000,5000000,CSD95482RWJ,1,UTL1,FALSE,PE ULT1,,02:57.6,57:11.9,,,
CT000031,CUTTINGTOOL,NA0052,CSD95485RWJ HS CLIP,4995000,5000000,CSD95485RWJ,1,UTL1,FALSE,PE ULT1,,04:34.8,07:10.3,,,
CT000032,CUTTINGTOOL,NA0075,ISL99360,4999000,5000000,NA0075,0,UTL1,FALSE,,PE ULT1,18:58.1,18:58.1,,,
CT000033,CUTTINGTOOL,NB0001,NB0001,4999000,5000000,N/A,1,UTL1,FALSE,,ProcessU1,58:18.6,58:18.6,,,
CT000034,CUTTINGTOOL,NC0002/3/4,NC0002/3/4,4995000,5000000,N/A,0,UTL2,FALSE,PE UTL2,PE UTL2,24:42.5,26:10.4,,,
CT000035,CUTTINGTOOL,NC0004,NC0004,4995000,5000000,N/A,0,UTL2,FALSE,,PE UTL2,27:23.3,27:23.3,,,
CT000036,CUTTINGTOOL,NC0002,NC0002,4995000,5000000,N/A,0,UTL2,FALSE,,PE UTL2,28:11.6,28:11.6,,,
CT000037,CUTTINGTOOL,NA0001,ASM,4999000,5000000,N/A,0,UTL1,FALSE,PE UTL1,PE UTL1,54:06.6,25:15.1,,,
CT000038,CUTTINGTOOL,NA0002,ASM,4999000,5000000,N/A,0,UTL1,FALSE,PE UTL1,PE UTL1,57:15.6,40:05.0,,,
CT000039,CUTTINGTOOL,NA0136,JMJ,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,10:51.5,10:51.5,,,
CT000040,CUTTINGTOOL,NA0001_001,ASM,4999000,5000000,N/A,0,UTL1,TRUE,PE UTL1,PE UTL1,00:33.6,38:49.7,,,
